Name	Version	Channel
avahi-gobject.x86_64	0.6.31-19.el7	@c7-media
avahi-libs.x86_64	0.6.31-19.el7	@c7-media
avahi-ui-gtk3.x86_64	0.6.31-19.el7	@c7-media
avalon-framework.noarch	4.3-10.el7	@c7-media
avalon-logkit.noarch	2.1-14.el7	@c7-media
axel.x86_64	2.4-9.el7	@epel
baobab.x86_64	3.28.0-2.el7	@c7-media
basesystem.noarch	10.0-7.el7.centos	@anaconda
bash.x86_64	4.2.46-31.el7	@anaconda
bash-completion.noarch	1:2.1-6.el7	@c7-media
bc.x86_64	1.06.95-13.el7	@c7-media
bea-stax-api.noarch	1.2.0-9.el7	@c7-media
beegfs-admon.x86_64	20:7.1.3-el7	@beegfs
beegfs-client.noarch	20:7.1.3-el7	@beegfs
beegfs-client-compat.noarch	20:7.1.3-el7	@beegfs
beegfs-client-devel.noarch	20:7.1.3-el7	@beegfs
beegfs-common.noarch	20:7.1.3-el7	@beegfs
beegfs-debuginfo.x86_64	20:7.1.3-el7	@beegfs
beegfs-helperd.x86_64	20:7.1.3-el7	@beegfs
beegfs-meta.x86_64	20:7.1.3-el7	@beegfs
beegfs-mgmtd.x86_64	20:7.1.3-el7	@beegfs
beegfs-mon.x86_64	20:7.1.3-el7	@beegfs
beegfs-storage.x86_64	20:7.1.3-el7	@beegfs
beegfs-utils.x86_64	20:7.1.3-el7	@beegfs
beegfs-utils-devel.noarch	20:7.1.3-el7	@beegfs
bind-libs.x86_64	32:9.9.4-72.el7	@c7-media
bind-libs-lite.x86_64	32:9.9.4-72.el7	@anaconda
bind-license.noarch	32:9.9.4-72.el7	@anaconda
bind-utils.x86_64	32:9.9.4-72.el7	@c7-media
binutils.x86_64	2.27-34.base.el7	@anaconda
biosdevname.x86_64	0.7.3-1.el7	@anaconda
bison.x86_64	3.0.4-2.el7	@base
blas.x86_64	3.4.2-8.el7	@base
blktrace.x86_64	1.0.5-8.el7	@c7-media
bluez.x86_64	5.44-4.el7_4	@c7-media
bolt.x86_64	0.4-3.el7	@c7-media
boost.x86_64	1.53.0-27.el7	@base
boost-atomic.x86_64	1.53.0-27.el7	@base
boost-chrono.x86_64	1.53.0-27.el7	@base
boost-context.x86_64	1.53.0-27.el7	@base
boost-date-time.x86_64	1.53.0-27.el7	@c7-media
boost-devel.x86_64	1.53.0-27.el7	@base
boost-doc.noarch	1.53.0-27.el7	@base
boost-filesystem.x86_64	1.53.0-27.el7	@base
boost-graph.x86_64	1.53.0-27.el7	@base
boost-iostreams.x86_64	1.53.0-27.el7	@c7-media
boost-locale.x86_64	1.53.0-27.el7	@base
boost-math.x86_64	1.53.0-27.el7	@base
boost-program-options.x86_64	1.53.0-27.el7	@base
boost-python.x86_64	1.53.0-27.el7	@base
boost-random.x86_64	1.53.0-27.el7	@c7-media
boost-regex.x86_64	1.53.0-27.el7	@base
boost-serialization.x86_64	1.53.0-27.el7	@base
boost-signals.x86_64	1.53.0-27.el7	@c7-media
boost-system.x86_64	1.53.0-27.el7	@c7-media
boost-test.x86_64	1.53.0-27.el7	@base
boost-thread.x86_64	1.53.0-27.el7	@c7-media
boost-timer.x86_64	1.53.0-27.el7	@base
boost-wave.x86_64	1.53.0-27.el7	@base
bpftool.x86_64	3.10.0-957.el7	@c7-media
brasero.x86_64	3.12.2-5.el7	@c7-media
brasero-libs.x86_64	3.12.2-5.el7	@c7-media
brasero-nautilus.x86_64	3.12.2-5.el7	@c7-media
bridge-utils.x86_64	1.5-9.el7	@c7-media
brlapi.x86_64	0.6.0-16.el7	@c7-media
brltty.x86_64	4.5-16.el7	@c7-media
btrfs-progs.x86_64	4.9.1-1.el7	@anaconda
byacc.x86_64	1.9.20130304-3.el7	@base
bzip2.x86_64	1.0.6-13.el7	@c7-media
bzip2-devel.x86_64	1.0.6-13.el7	@base
bzip2-libs.x86_64	1.0.6-13.el7	@anaconda
c-ares.x86_64	1.10.0-3.el7	@c7-media
ca-certificates.noarch	2018.2.22-70.0.el7_5	@anaconda
cabal-dev.x86_64	0.9.2-2.el7	@epel
cabal-install.x86_64	1.16.1.0-2.el7	@epel
cairo.x86_64	1.15.12-4.el7	@base
cairo-devel.x86_64	1.15.12-4.el7	@base
cairo-gobject.x86_64	1.15.12-4.el7	@base
cairo-gobject-devel.x86_64	1.15.12-4.el7	@base
cairomm.x86_64	1.12.0-1.el7	@c7-media
cal10n.noarch	0.7.7-4.el7	@c7-media
cc_mgr.x86_64	1.0-0.39.g32c9c85.45101	installed
cdparanoia.x86_64	10.2-17.el7	@c7-media
cdparanoia-libs.x86_64	10.2-17.el7	@c7-media
cdrdao.x86_64	1.2.3-20.el7	@c7-media
celt051.x86_64	0.5.1.3-8.el7	@c7-media
centos-indexhtml.noarch	7-9.el7.centos	@c7-media
